Country,Nitrogen Oxide,Carbon Monoxide
Afghanistan,480669.59,1055394.01
Albania,23371.85,50953.5
Algeria,487160.68,719509.85
American Samoa,245.68,671.99
Angola,133085,2134641.75
Antigua and Barbuda,3992.01,11619.69
Argentina,1031848.73,3081910.04
Armenia,20617.45,31913.77
Aruba,3113.96,18350.18
Australia,1097491.39,1873784.77
Austria,126545.69,510978.53
Azerbaijan,85025.97,169445.37
Bahamas,17822.72,63787.36
Bahrain,53378.67,258296.82
Bangladesh,807382.49,3459258.93
Barbados,11052.13,30383.35
Belarus,172671.92,512639.86
Belgium,156603.97,289331.85
Belize,4920.06,21559.99
Benin,84113.58,1243741.99
Bermuda,2788.35,7552.66
Bhutan,21847,274623.59
Bolivia,130646.3,671104.12
Bosnia and Herzegovina,69689.78,534410.86
Botswana,49170.33,276254.31
Brazil,3098611.95,12888700.06
British Virgin Islands,1289.07,2413.46
Brunei,8673.89,12131.59
Bulgaria,76367.53,220490.18
Burkina Faso,55449.21,1189485.7
Burundi,11851.64,418094.38
Cambodia,211588.46,2594187.26
Cameroon,70556.17,1287148.89
Canada,1686506.97,5582268.1
Cape Verde,9149.53,32383.31
Cayman Islands,4031.49,9680.02
Central African Republic,9205.05,155332.08
Chad,20880.32,631885.32
Chile,487279.18,2038798.15
Colombia,483540.48,3087092.22
Comoros,2238,34735.48
Congo,27842.09,409972.21
Cook Islands,381.37,346.07
Costa Rica,51175.22,415852.37
Cote d'Ivoire,71646.25,1933571.17
Croatia,46964.57,184770.34
Cuba,146872.42,531629.98
Curacao,15776.24,27801.38
Cyprus,12452.64,12676.11
Czechia,153301.69,764587.65
Democratic Republic of Congo,128524.41,6744084.16
Denmark,87000.75,215131.59
Djibouti,10192.72,60944.49
Dominica,1224.33,8737.03
Dominican Republic,184605.22,609783.37
Ecuador,284732.21,1486338.59
Egypt,714995.49,1975097.41
El Salvador,49845.48,377358.69
Equatorial Guinea,14571.69,105581.73
Eritrea,12076.16,200196.95
Estonia,28647.35,129261.74
Eswatini,10999.58,81679.43
Ethiopia,257489.56,11617435.15
Faeroe Islands,21.46,52.92
Falkland Islands,477.41,479.74
Fiji,15571.71,14936.85
Finland,110037.71,308732.81
France,799498.03,2401440.96
French Guiana,6480.37,18358.06
French Polynesia,5987.44,5495.54
Gabon,49160.36,473061.36
Gambia,6659.43,81240.41
Georgia,49018.55,166658.52
Germany,905632.12,2531256.68
Ghana,115068.39,1607388.4
Gibraltar,6530.68,1741.47
Greece,183613.13,279725.78
Greenland,12.64,3.74
Grenada,2780.63,20758.41
Guadeloupe,16168.42,34195.19
Guatemala,161820.28,1946272.43
Guinea,42892.67,1044575.71
Guinea-Bissau,7607.94,227543.52
Guyana,20674.71,49793.07
Haiti,60924.81,1535254.9
Honduras,175855.5,1386203.8
Hong Kong,149130.99,127621.36
Hungary,100456.29,392591.89
Iceland,16630.55,112004.39
India,9476939.53,53392563.74
Indonesia,5038852.43,23309812.17
Iran,2274539.75,9951627.68
Iraq,879896.11,2360797.74
Ireland,78292.43,67425.94
Israel,406061.89,140738.29
Italy,587047.62,2112627.82
Jamaica,64355.75,699457.14
Japan,1674207.29,3535352.7
Jordan,109779.81,87157.71
Kazakhstan,878094.38,3228318.45
Kenya,202805.3,4912740.9
Kiribati,546.01,967.08
Kuwait,196627.54,139993.59
Kyrgyzstan,78132.18,498842.16
Laos,117982.19,369860.49
Latvia,34275.49,122153.11
Lebanon,172669.89,204089.23
Lesotho,10776.26,226211.51
Liberia,18523.37,672822.09
Libya,277893.46,1627693.5
